Timestamp,IITK01,IITK02,IITK03,IITK04,IITK06,IITK07,IITK08,IITK10,IITK11,IITK12,IITK13,IITK14,IITK15,IITK17,IITK18,IITK19,IITK20,IITK21,IITK22,IITK23,IITK24,IITK25
11-01-2022 00:00,,147,165.5,217.25,88,145,127.75,108,204,,158.75,,152.25,162.5,152.75,108.5,105.75,163.25,142.25,172.5,,
11-01-2022 01:00,,129.25,150.25,201.5,87.5,131,112.25,86,181.75,,104.5,,121,155.25,146,109,93.25,159.25,136.6666667,155.5,96.75,
11-01-2022 02:00,,113,167.75,160.75,85.75,118.75,99,89,173.5,,109.25,,105.75,166.75,137.5,110.25,93.75,154.5,108.25,133.25,91,
11-01-2022 03:00,,95.25,169,134.25,86,115,118.25,86.25,172.5,,111.25,,108.5,161.25,130.5,111,84,149,112.5,125.25,99.75,
11-01-2022 04:00,,83,174.5,116,82,120.75,107.5,83.75,140,,127.75,,110.25,162.25,125,116,81.5,151.75,106.5,126.5,,
11-01-2022 05:00,,87.5,160,106.5,76.5,128.5,96.5,81.5,131.5,,103.25,,98.25,153.5,118,111.25,84,147.75,101.5,126.5,95,
11-01-2022 06:00,,,124.75,125.75,71,132.25,96.25,87.25,124,,110.5,,107.25,132.75,122.75,,88,156.5,100.25,141.75,88,
11-01-2022 07:00,,105.5,117.75,123,81.66666667,164.75,107.25,98.75,140.25,,112.25,,114.75,134.25,119.25,,99.75,174,114.5,153.75,105.3333333,
11-01-2022 08:00,,99.33333333,104.3333333,108.75,98,141.25,99.25,96.75,124,,91.75,,98,117.25,106.5,,95.25,162,95.25,138.25,138.25,
11-01-2022 09:00,,85,90.5,94.33333333,81.5,135.25,80,93.5,98,,75.25,,97,92.25,84.25,,85.5,125,83.25,121.75,111.5,
11-01-2022 10:00,,63.5,74.5,72,67.25,111.25,72,71.75,89,,67.5,,83.25,84.75,78,72,67,101.3333333,72.5,102.5,91,
11-01-2022 11:00,,52.5,68.5,60.75,56.75,85.5,67.5,58,76,,60.75,,92.75,78.25,67,65.75,57.75,98.33333333,60.5,85.25,81.75,
11-01-2022 12:00,,40,55.25,45.75,52.75,67.75,50,37.25,55.75,,41.25,,66.25,61.25,53.75,50.5,47.25,78.25,45.75,59.75,61.75,
